                    Password        balance         active 
client 1:		0001000001100011 0010011011110011     0
client 2:		0001100100101100 0000111100100000     0
client 3:		0001001010110110 0000011011010111     0
client 4:		0010000101111110 0001111111001111     1 
client 5:		0010010110010000 0000101001011101     1
client 6:		0001000100001010 0000001101101011     1
client 7:		0000010101111101 0001110001000000     0
client 8:		0001000101100110 0001100010000010     0
client 9:		0010000000001101 0001110100100011     1
client 10:		0001100110011011 0001011001111011     1
